index,case:concept:name,activity,type
2561,DF14507029302_00001,"[14, 19, 19, 21, 21, 21, 19, 19, 19, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21]",DF1
1210,DF14507006810_00001,"[14, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21]",DF1
3029,DF14507037423_00001,"[14, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 41, 20, 13]",DF1
3815,DF14508050080_00001,"[14, 19, 19, 19, 21, 21, 21, 21, 19, 19, 21, 21, 21]",DF1
4265,DF14508058238_00001,"[14, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21]",DF1
2588,DF14507030038_00010,"[14, 41, 40, 19, 20, 2, 13, 20, 13]",DF1
4719,DF14508065812_00001,"[14, 21, 21, 21, 21, 21, 21, 19]",DF1
1631,DF14507013379_00010,"[14, 19, 21, 1, 19, 41, 20, 25, 13]",DF1
4423,DF14508060691_00001,"[14, 19, 19, 19, 19, 21, 21, 21, 21]",DF1
2308,DF14507025275_00001,"[14, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 19, 19, 19, 21, 19, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 19, 21, 21, 21, 19, 21, 21, 21, 21, 19, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 19]",DF1
2583,DF14507029719_00001,"[14, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21, 21, 19]",DF1
324,DF12000033474_00001,"[29, 28, 26, 31, 33, 35, 27, 14, 41, 19, 21, 20, 13]",DF1
4794,DF14508067428_00001,"[14, 19, 19, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 41, 20]",DF1
4726,DF14508065972_00040,"[14, 8, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]",DF1
3193,DF14507039813_00060,"[14, 41, 19, 41, 19, 20, 20, 25, 13]",DF1
1847,DF14507018093_00160,"[14, 41, 19, 20, 41, 19, 25, 8, 20, 13, 13]",DF1
4116,DF14508056126_00001,"[14, 19, 19, 19, 19, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21]",DF1
3857,DF14508051216_00001,"[14, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19]",DF1
3117,DF14507039017_00520,"[41, 14, 41, 19, 19, 20, 25, 13, 20, 25, 13]",DF1
4460,DF14508061269_00001,"[14, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19]",DF1
2852,DF14507034689_00001,"[14, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19]",DF1
1513,DF14507011298_00160,"[14, 8, 41, 19, 20, 13, 19, 41, 19, 20, 19, 41, 25, 20, 13, 13, 2]",DF1
4791,DF14508067141_00001,"[14, 19, 19, 19, 19, 21, 21, 21, 21]",DF1
2994,DF14507036797_00001,"[14, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19]",DF1
3720,DF14508048312_00020,"[14, 9, 41, 19, 41, 20, 13, 13]",DF1
2028,DF14507020805_00001,"[14, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19]",DF1
4634,DF14508064261_00001,"[14, 19, 19, 19, 19, 21, 21, 21, 21, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 21]",DF1
3284,DF14507041509_00001,"[14, 19, 19, 21, 21, 19, 19, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 41, 20, 13]",DF1
3053,DF14507037778_00001,"[14, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 19, 21, 21, 21, 19, 21, 21, 19, 21, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21]",DF1
5124,DF14508073065_00001,"[14, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19]",DF1
99,DF12000000143_00001,"[29, 28, 26, 31, 33, 35, 27, 14, 41, 21, 19, 20, 13]",DF1
4592,DF14508063542_00001,"[14, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21, 21, 21, 21, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19]",DF1
4182,DF14508056941_00001,"[14, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19]",DF1
2596,DF14507030079_00001,"[14, 21, 21, 21, 21, 21, 21, 19]",DF1
736,DF14507001281_00010,"[14, 41, 41, 19, 21, 19, 21, 41, 19, 21, 20, 20, 20, 13, 41, 19, 21, 20, 41, 19, 21, 20, 41, 13, 41, 41, 41, 41, 41, 19, 21, 19, 21, 19, 21, 19, 21, 19, 21, 41, 13, 41, 20, 20, 19, 21, 13, 20, 20, 41, 20, 13, 20, 41, 41, 40, 19, 21, 19, 21, 19, 21, 19, 21, 19, 21, 20, 20, 13, 41, 19, 21, 20, 20, 13, 41, 19, 21, 13, 20, 20, 20, 13, 41, 41, 19, 21, 19, 21, 20, 20, 41, 19, 21, 13, 20, 41, 41, 19, 21, 19, 21, 41, 13, 19, 21, 41, 19, 21, 2, 20, 13, 20, 20, 20, 20, 41, 13, 19, 21, 19, 21, 20, 20, 41, 41, 19, 21, 19, 21, 19, 21, 13, 20, 20, 20, 19, 21, 41, 20]",DF1
4934,DF14508069733_00001,"[14, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 1, 1]",DF1
1782,DF14507016410_00001,"[14, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 19, 21, 21, 21, 21, 21, 19, 19, 21, 21, 19]",DF1
2074,DF14507021438_00030,"[14, 41, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 20, 13]",DF1
180,DF12000013464_00001,"[41, 29, 28, 26, 31, 33, 35, 27, 14, 19, 21, 20, 13]",DF1
165,DF12000013443_00002,"[29, 28, 26, 31, 33, 35, 27, 14, 41, 19, 20, 13]",DF1
4789,DF14508067138_00001,"[14, 19, 19, 21, 21, 19, 21, 1, 1]",DF1
1680,DF14507014544_00001,"[14, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 19]",DF1
1001,DF14507004247_00001,"[14, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 19, 19, 19, 21, 21, 21, 21, 19, 21, 41, 20, 13]",DF1
3918,DF14508052202_00110,"[14, 19, 21, 41, 41, 20, 13, 20, 41, 25, 13, 20, 25]",DF1
58,DF12000000072_00001,"[29, 28, 26, 31, 33, 35, 27, 14, 41, 19, 21, 20, 13, 41, 19, 21, 20, 13, 41, 19, 21, 20, 13, 41, 19, 21, 20, 13, 41, 19, 21, 20, 13, 41, 33, 19, 21, 20, 13, 41, 19, 21, 20, 13, 41, 29, 28, 26, 31, 33, 35, 30, 8, 19, 21, 20, 13, 41, 19, 21, 20, 13, 41, 19, 21, 20, 13, 41, 19, 21, 20, 41, 19, 21, 20, 13, 13]",DF1
2711,DF14507032097_00001,"[14, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 19, 41, 20, 13]",DF1
2625,DF14507030435_00001,"[14, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 19, 41, 20, 13]",DF1
4973,DF14508070354_00001,"[14, 21, 21, 21, 21, 21, 21, 19, 21, 19, 41, 20, 13]",DF1
3186,DF14507039801_00001,"[14, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 19, 21, 19, 21, 21, 21, 21, 19, 21, 21, 19, 21, 21, 21, 21, 19, 41, 20, 13]",DF1
647,DF14507000449_00090,"[14, 41, 41, 19, 21, 19, 21, 20, 20, 13, 41, 13, 41, 8, 19, 21, 19, 21, 19, 21, 20, 20, 20, 13, 13, 41, 41, 19, 21, 19, 21, 20, 20, 25, 19, 21, 19, 21, 20, 20, 13, 13, 41, 41, 8, 19, 21, 19, 21, 20, 20, 19, 21, 13, 20, 13, 8]",DF1
3823,DF14508050405_00001,"[14, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 19]",DF1
3237,DF14507040553_00001,"[14, 19, 19, 19, 19, 21, 21, 21, 21, 41, 20, 13]",DF1
2985,DF14507036732_00010,"[14, 41, 9, 19, 1, 19, 20, 25, 13]",DF1
1278,DF14507007762_00001,"[14, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 19]",DF1
9,DF12000000014_00001,"[29, 28, 26, 31, 33, 35, 27, 14, 41, 19, 21, 20, 13, 41, 19, 21, 20, 13, 41, 19, 21, 20, 13, 41, 19, 21, 20, 13, 41, 19, 21, 20, 13, 33, 37]",DF1
5261,DF14508075729_00001,"[14, 19, 21, 19, 19, 19, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21, 19, 21]",DF1
2694,DF14507031804_00001,"[14, 19, 19, 19, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21, 19, 19, 19, 21, 21, 21, 21]",DF1
1722,DF14507015447_00001,"[14, 21, 21, 21, 21, 21, 21, 21, 21, 19, 21, 21, 21, 21, 21, 21, 21, 21, 19]",DF1
666,DF14507000693_00010,"[14, 41, 41, 41, 19, 21, 19, 21, 19, 21, 19, 21, 41, 20, 20, 20, 20, 41, 19, 21, 20, 19, 21, 20, 41, 41, 19, 21, 20, 41, 19, 21, 20, 13, 41, 41, 41, 19, 21, 19, 21, 19, 21, 20, 20, 20, 13, 41, 19, 21, 20]",DF1
929,DF14507003933_00010,"[41, 14, 41, 41, 40, 41, 41, 41, 41, 41, 19, 21, 19, 21, 20, 20, 13, 19, 21, 20, 13, 19, 21, 19, 21, 19, 19, 21, 21, 19, 19, 21, 21, 20, 20, 20, 20, 13, 20, 20, 13, 2, 20, 13, 2, 20, 13]",DF1
4069,DF14508055199_00001,"[14, 19, 19, 21, 21, 21, 21, 19, 19, 19, 21, 21, 21, 21, 19, 21]",DF1
117,DF12000000181_00001,"[29, 28, 26, 31, 35, 33, 14, 27, 41, 19, 20, 13]",DF1
1072,DF14507005004_00100,"[14, 41, 21, 19, 41, 21, 19, 20, 20, 13, 13, 41, 8, 21, 19, 20, 13]",DF1
3498,DF14508044777_00001,"[14, 19, 19, 21, 21, 19, 19, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 21, 21, 21]",DF1
1761,DF14507016131_00001,"[14, 19, 19, 19, 19, 19, 21, 21, 21, 21, 21, 41, 20, 13]",DF1
